年份,奖项,发布机构
入选“2019福布斯中国最具创新力企业榜”,福布斯中国,
2019年全球品牌100强,《福布斯》,
华为VRGlass荣获VR/AR创新金奖,-,
全球品牌百强榜排名74,Interbrand,
2019年中国企业全球化十大致敬企业,-,
2019中国人工智能企业知识产权竞争力百强榜排名第1位,胡润研究院,
“一带一路”中国企业100强榜单排名第8位,-,
2019中国品牌强国盛典榜样100品牌,中央广播电视总台[67-68],
中国品牌发展指数100榜单排名第1位,人民日报,
2018年,最佳物联网移动创新奖,2018世界移动大会
2018中国品牌价值百强榜（第12名）,中国品牌建设促进会,
2018年最具价值品牌（第79位）,《福布斯》,
世界品牌500强（第58位）,世界品牌实验室,
2017年,世界500强企业（第129位）,《财富》
2016年,2016年度国家科学技术进步奖特等奖【华为参与“第四代移动通信系统（TD-LTE）关键技术与应用”项目】,中华人民共和国科学技术部
世界品牌500强企业（第81位）,世界品牌实验室,
BrandZ全球100个最具价值品牌排行榜（第50位）,研究机构Millward Brown,
中国民营企业500强（第1名）,全国工商联,
2015年,世界品牌500强企业,世界品牌实验室
世界500强企业（第228位）,《财富》,
5G最杰出贡献奖,2015 5G全球峰会（2015 5G World Summit）,
2015年度表现最佳的合作伙伴,-,
“网络安全透明度”奖,德国下萨克森州政府,
年度最佳无线供应商（Wireless Vendor of the Year）,2015年网络世界中东颁奖典礼,
“10年卓越信息安全产品(EIST)”奖,德国下萨克森州政府,
NFV创新奖、5G最杰出贡献奖,2015年LTE/5G全球峰会,
2014年,世界品牌500强企业,世界品牌实验室
2014年度风云榜年度杰出企业,新浪科技,
世界500强企业（第285位）,《财富》,
2013年,“最佳LTE创新商用”大奖,2013年LTE全球峰会
世界500强企业（第315位）,《财富》,
2012年,世界500强企业（第351位）,《财富》
2011年,国家技术创新示范企业（首批）,中华人民共和国工业和信息化部
世界500强企业（第352位）,《财富》,
2010年,世界品牌500强（第348位）,世界品牌实验室
2010年度公司创新大奖,英国《经济学人》,
最具创新力公司（第5名）,美国商业媒体Fast　Company,
2009年,2009年大中华区视频会议终端市场领导者奖,Frost&Sullivan
业务新锐奖,《金融时报》,
世界品牌500强企业（首次入选、第350位）,世界品牌实验室,
2008年,2008年度“最受赞赏的中国公司”,《财富》
《华为开放合作的全球WDM光纤传送平台建设》获国家科学技术进步二等奖,中华人民共和国国务院,
2007年,2007杰出表现奖,沃达丰
